16010002217D180C0320260A0001AF00	16	01	16年11月29日		18	0C	武蔵溝ノ口	03	20	国立	 2598	0001AF		
16010002217DD01ED027AA0B0001AD00	16	01	16年11月29日		D0	1E	自由が丘	D0	27	溝の口	 2986	0001AD		
16010002217DD027D01E440C0001AB00	16	01	16年11月29日		D0	27	溝の口	D0	1E	自由が丘	 3140	0001AB		
16010002217D0320180CDE0C0001A900	16	01	16年11月29日		03	20	国立	18	0C	武蔵溝ノ口	 3294	0001A9		
16010002217C03220320620E0001A700	16	01	16年11月28日		03	22	立川	03	20	国立	 3682	0001A7		
16010002217C03200322E70E0001A500	16	01	16年11月28日		03	20	国立	03	22	立川	 3815	0001A5		
16140201217C032000006C0F0001A300	16	14	16年11月28日		03	20	国立	00	00		 3948	0001A3	ｵｰﾄﾁｬｰｼﾞ	
050F000F217A0C520000B4030001A200	05	0F	16年11月26日		0C	52	未登録	00	00		  948	0001A2		
050F000F217A0C52000016040001A100	05	0F	16年11月26日		0C	52	未登録	00	00		 1046	0001A1		
16010002217A0320032270040001A000	16	01	16年11月26日		03	20	国立	03	22	立川	 1136	0001A0		
16010002217903220320F50400019E00	16	01	16年11月25日		03	22	立川	03	20	国立	 1269	00019E		
160100022179032003227A0500019C00	16	01	16年11月25日		03	20	国立	03	22	立川	 1402	00019C		
16010002217503220320FF0500019A00	16	01	16年11月21日		03	22	立川	03	20	国立	 1535	00019A		
16010002217503200322840600019800	16	01	16年11月21日		03	20	国立	03	22	立川	 1668	000198		
160100022173030D0320090700019600	16	01	16年11月19日		03	0D	新宿	03	20	国立	 1801	000196		
C746000021739920B4AB8D0800019500	C7	46	16年11月19日	19時09分	00	00		B4	AB	未登録	 2189	000195		
160100022173032003037B0900019300	16	01	16年11月19日		03	20	国立	03	03	御茶ノ水	 2427	000193		
C746000021715BAAE8EEA10B00019100	C7	46	16年11月17日	11時29分	00	00		E8	EE	未登録	 2977	000191		
16010002216F032203204F0D00019000	16	01	16年11月15日		03	22	立川	03	20	国立	 3407	000190		
16010002216F03200322D40D00018E00	16	01	16年11月15日		03	20	国立	03	22	立川	 3540	00018E		
1601000220FD0322032064030000F000	16	01	16年07月29日		03	22	立川	03	20	国立	  868	0000F0		
1601000220FD03200322E9030000EE00	16	01	16年07月29日		03	20	国立	03	22	立川	 1001	0000EE		
1601000220FB032203206E040000EC00	16	01	16年07月27日		03	22	立川	03	20	国立	 1134	0000EC		
1601000220FB03200322F3040000EA00	16	01	16年07月27日		03	20	国立	03	22	立川	 1267	0000EA		
1601000220F90322032078050000E800	16	01	16年07月25日		03	22	立川	03	20	国立	 1400	0000E8		
1601000220F903200322FD050000E600	16	01	16年07月25日		03	20	国立	03	22	立川	 1533	0000E6		
1601000220F60322032082060000E400	16	01	16年07月22日		03	22	立川	03	20	国立	 1666	0000E4		
1601000220F60320032207070000E200	16	01	16年07月22日		03	20	国立	03	22	立川	 1799	0000E2		
1601000220F4032203208C070000E000	16	01	16年07月20日		03	22	立川	03	20	国立	 1932	0000E0		
1601000220F40320032211080000DE00	16	01	16年07月20日		03	20	国立	03	22	立川	 2065	0000DE		
1601000220F02911032096080000DC00	16	01	16年07月16日		29	11	新秋津	03	20	国立	 2198	0000DC		
1601000220F0BA0EBA166E090000DA00	16	01	16年07月16日		BA	0E	石神井公園	BA	16	秋津	 2414	0000DA		
1601000220F0BA16BA0E3C0A0000D800	16	01	16年07月16日		BA	16	秋津	BA	0E	石神井公園	 2620	0000D8		
1601000220F0032029110A0B0000D600	16	01	16年07月16日		03	20	国立	29	11	新秋津	 2826	0000D6		
1601000220EF03220320E20B0000D400	16	01	16年07月15日		03	22	立川	03	20	国立	 3042	0000D4		
1601000220EF03200322670C0000D200	16	01	16年07月15日		03	20	国立	03	22	立川	 3175	0000D2		
1601000220ED03220320EC0C0000D000	16	01	16年07月13日		03	22	立川	03	20	国立	 3308	0000D0		
1601000220ED03200322710D0000CE00	16	01	16年07月13日		03	20	国立	03	22	立川	 3441	0000CE		
1601000220EB03220320F60D0000CC00	16	01	16年07月11日		03	22	立川	03	20	国立	 3574	0000CC		
1601000220EB032003227B0E0000CA00	16	01	16年07月11日		03	20	国立	03	22	立川	 3707	0000CA		
